CompanyID,Description,TargetWorkCatergoryIDs
1005,"PWD Facilities Management Ltd is one of the fastest growing Building Maintenance and fit out companies in the UK, providing nationwide coverage for a range of building and services trades to numerous public/private organisations. These FM Services include: Contract Maintenance & Facilities Management - Planned & Reactive 24hr Emergency Building Maintenance Construction Alteration & Refurbishment Commercial Glazing Decorating (Interior/Exterior) Roofing - Including Sika-Trocal systems Groundwork & Landscaping Steelworks Fabrication Winter maintenance Bulk Rock Salt Suppliers via PWD Salt We have evolved as a planned and reactive facilities management contractor but also provide complete construction project management across different areas such as store closures, residential projects including new builds, extensions or refurbishments; waste management; car park features technology; mechanical HVAC electrical drainage etc. Our teams of highly trained vetted operatives ensure the highest levels of response quality workmanship throughout all parts of United Kingdom 365 days per year.","[19, 86, 31]"
1006,"Established since 1999, E-Power Electrical Limited is a small private limited company that boasts a capable and dedicated workforce. The company specialises in all aspects of electrical contracting and over the past 18 years we have built up a large client base due to our friendly and reliable service. With over seventy years of experience to draw upon, we can undertake all electrical work from domestic re-wires to large industrial/commercial installations. Our extensive range of Electrical Services includes: CCTV Installations Electrical Maintenance Data Network Installations Commercial Installations Domestic Installations Fire Alarm Installations Electrical Inspection & Tests Emergency Call out Solar Panel Installation","[64, 59, 61, 62]"
1007,"Construct and Assemble: We craft multi-acclaimed constructions, designed by contracted teams of architects, designers (which includes the capacity to work on BIM related projects) and engineers. Our exclusive specifications enable us to generate remarkable results: top quality, highly energy efficient structures that are both rapid and cost effective.  Financing: We offer adjustable financing options tailored to meet the customer's needs and are available for all or part of our services as well as project tasks. Maintenance: We are BOPAS certified and can provide solid warranties for all our work. In addition, we can supply standard or customised maintenance plans when needed.","[28, 38]"
1008,"On the 1st October 2019, Harry Peers Steelwork Ltd became a wholly owned subsidiary of Severfield PLC, the country’s largest structural steelwork fabrication company. We are thrilled by what this new partnership brings to our business including access to 150,000 Tonnes per year fabrication facilities which will allow us to expand and take on larger projects without increasing lead times or exceeding capacity. Furthermore we can benefit from the enhanced purchasing power that comes with being part of such an established group like Severfield. The combined knowledge and capabilities that have made Harry Peers Steelwork Ltd a leading provider for Nuclear, defence and Process markets together with the scale offered by Severfield PLC means we can become even stronger in tackling bigger Projects as well as meeting growing needs within Nuclear new build programme and Decommissioning, Process, Defence Water & Petrochemical sectors.",[27]
1009,"TKG Solutions, inspect sites, diagnose the most efficient and cost-effective solutions and rapid response installations - 24 hours a day 365 days per year.Our ‘always on’ approach ensures that our customer’s needs are always met. The business was established in 2017, and we have seen a high demand for our services with the company is continuing to grow at speed. Due to our highly qualified team and their troubleshooting experience and skills, we can ensure a professional service is delivered, and all of your solutions are implemented. Our philosophy is to ensure the highest standards are maintained with the products we use and install. We also anticipate that your needs are met within the shortest time frame whilst your customers remain uninterrupted or unaware of any operations taking place",[83]
1010,"Greenway has been an innovator and market leader in PVCu products for over 30 years. By constantly identifying and improving our products and processes, Greenway has created a comprehensive product range that perfectly complements the sustainability demands of the current climate. With quality and innovation at the core of our business, Greenway offers a range of secure and sustainable PVCu windows and composite doors for the domestic, social and commercial new build sectors. With manufacturing facilities located across 40 acres, including an onsite recycling plant as well as extrusion plants, Greenway has the capability to produce 10 000 frames per week. In 2012, Greenway launched its own unique Inliten profile system. All products are designed to meet rigorous quality standards while also providing security features along with environmental sustainability requirements which can be tailored made according to customer size or style preferences.","[0, 13]"
1011,"Granite Construction began trading in January 2000. The offices are located on Higher Hillgate in the heart of Stockport. Granite carry out projects within Northwest England and North Wales as a contractor working in both government and commercial sectors specialising in ground works, building foundations, concrete frames, hard landscape, civil engineering and structural alterations. Their clients include GallifordTry, Kier Wates Construction Sir Robert McAlpine Bam Mace Word Leisure Seddon Interserve Manchester Central Lendlease Morgan Sindall Carillion Eric Wright to name but a few. Projects undertaken by Granite have included hospitals prisons theatres schools colleges universities leisure centres local authority offices libraries shopping Centres stadiums apartments etcetera . They are accredited to ISO 9001 Quality ISO 14001 Environmental OHSAS 18001 Health & Safety Building Confidence by Achilles Constructionline Investors In People amongst others..The staff at Granite is loyal with many having been employed for several years now showing great dedication towards their work environment.","[23, 44, 47, 54, 55, 57]"
1012,"Gibson and Miller, Chartered Architects have been in Practice for 41 years. The Directors pride themselves on providing a high level of customer satisfaction through their dedication to design excellence and responsible management of individual client requirements. A talented, experienced team of architects and architectural technologists demonstrate an unwavering commitment to the successful completion of many projects with both creative flair and enthusiasm for the built form. Gibson and Miller are highly experienced at working closely with Clients, Local Authorities as well as all supply chain members offering a considerate yet approachable attitude towards each aspect of the design process from conception to construction. Operating across West Midlands, East Midlands Staffordshire & Shropshire they boast extensive knowledge in various sectors such as Extra Care Housing, affordable housing development , education establishments & health care facilities including mental health services .",[90]
1013,"We are professional, reliable and passionate about quality, we've been trading for over 25 years mainly operating in East Sussex and Kent and over the years we have successfully completed a diverse range of projects such as Schools, Hospitals, Office Blocks, Super Stores and also large scale Social and Private Housing Projects.   We have an open book tendering policy at ABC Construction Ltd.and provide a detailed take-off when tendering from drawings & specification.  We operate our own forward thinking Quality Control System that both ensures a better flow of work for us and often cuts out needless dayworks and return visits.    Historically most of our contracts are between £50,000 to £400 000 but we also do many smaller bespoke type projects as they come up too.","[9, 2]"
1014,"Voltage Labour Solutions are an Electrical contracting firm based in the West Midlands area. We provide a comprehensive range of electrical services, including Lighting and small power, Security systems, fire alarms, LV sub mains and BMS installations. At present we have around 30 employees on our team which includes supervisors, testers, Electricians as well as Mates and apprentices. We work with Lyrico Fire Alarm & Security Systems Ltd., ABEC Group Ltd., Manstal Electrical Services Ltd. and Dodd Group to name a few clients that trust us for their projects. Our business has grown exponentially due to positive word-of-mouth from satisfied customers who appreciate our flexible approach towards customer service combined with quality results at cost effective prices; this is what sets us apart from other firms in the industry today! With every project we undertake comes 100% client focus where we strive hard to meet deadlines while maintaining top notch installation standards - all these efforts help build long term relationships between Voltage Labour Solutions and its clients by continuingly exceeding expectations whilst providing value for money solutions in today’s competitive market place","[64, 61]"
1015,"Established in 1991, Bickham Construction offers a range of groundwork and civil engineering services in the Surrey, Hampshire, Berkshire, West Sussex and surrounding areas. For more information refer to our website https://bickhamconstruction.co.uk/  We are a direct labour employer.   In order to deliver our services to the highest standards of Quality and Health and Safety, we have a highly experienced workforce.  Bickham Construction ensure that all its employees receive all relevant training and instruction required to safely carry out their duties.  We have a modern in house plant fleet meeting the latest emissions standards. All our equipment is regularly maintained and serviced in order to achieve maximum efficiency whilst minimising the impact on the environment .We are ISO 9001 (Quality), ISO 14001 (Environmental)and ISO18001(OH&S) Certificated","[44, 46, 47, 52, 55, 57]"
1016,"SecureGuard Fire and Sealing Solutions provide professionally managed, cost effective fire compliant services nationwide to a wide range of clients. Highly esteemed in this specialised field the team has over 30 years’ experience delivering an extensive selection of 3rd party accredited passive fire protection installation services. The LPCB approval process involves regular site and office audits to ensure that appropriate standards are adhered to. We are authorised installers of leading passive fire protection manufacturers such as Nullifire and Sherwin Williams for Intumescent paints, Firetherm for fire sealing products, Filoform and CSD for water and gas sealing. Services provided:  - Intumescent coatings - Fire sealing - Air & acoustic sealing - Fire protection advice & surveys - Fire barriers / curtains- Water & gas sealing",[37]
1017,"Moorland Fencing Solutions are experienced commercial fencing and land works contractors based in Staffordshire. We take pride in delivering excellent workmanship to our clients. No matter the size or scope of your project, we can design, supply and install any type of commercial fencing system for sectors such as rail, civil engineering, housing developments and highways. Our estimates are free of charge while still providing competitive rates. In addition to this we offer a variety of services including installation of fences & railings with gates if required along with temporary perimeter boundary solutions, tree protection and site enabling works that may be necessary for your projects.","[50, 52]"
1018,"We are a local Scaffolding & Groundwork Company, with over 20 years of experience in the field. We currently employ 44 staff skilled in all areas of our trade and have MB Thomas as our Health & Safety Consultants to provide us with up-to-date requirements, Risk Assessments and Method Statements. Our company is registered with Constructionline, CHAS, Safe Contractor and CITB for advice on appropriate training that best suits us. All employees hold CISRS qualifications, CSCS cards Part 1/Part 2 scaffolder tickets Plant ticket holders Confined Spaces Street Works First Aid certificates etc.. In addition we work closely with Merthyr College and People Plus to promote Youth Training opportunities. Excavated materials from projects are disposed at Merthyr Borough Recycling Centre responsibly by us . Working alongside national companies has allowed us to increase our profile while also learning what customers require when working within a competitive market place. The growth of our business can be attributed to four main fundamentals: Customer service; Professionalism; Total commitment; High standard of workmanship  We undertake all aspects of scaffolding & groundwork including specialised finishes such as:-","[25, 43, 44, 45, 47, 56]"
1019,"EPS provide a wide range of electrical services for commercial and industrial customers. They can supply everything from small power distribution to sub mains and switchgear systems, right back to the main intake. This includes trunking, tray, ladder and basket cabling; armoured cabling; distribution boards; heavy switchgear; heavy power cabling as well as lighting schemes designed, procured and installed. Furthermore they offer energy management solutions along with building management systems together with UPS installations plus diesel & petrol generator installation in addition to network cable Cat 5/5e & 6 fibre optic installation termination patching & testing plus Power Factor Correction Electrical Inspection Testing & Design Services too!","[64, 66, 70, 59, 62, 63]"
1020,"A private company, founded in 1969, Bexley is a leading construction services provider with our Head Office in Edinburgh with the ability to work UK wide. With a portfolio of work that ranges from commercial office fit-outs to 5-star luxury hotel projects, from high street retail schemes to public sector contracts, we deliver excellence in every aspect of construction. We apply the expertise and knowledge gained from almost five decades in business across multiple sectors to provide a service that is founded on delivering projects that always support and enhance our clients’ business needs and objectives. The “Bexley Way” is built on character and these core values place huge importance on our client relationships. These principles drive us to create an outstanding experience for all our clients, both existing and new, through exceptional service delivery. Bexley has a skilled workforce that blends a core of long-serving employees with talented new recruits. This ideal combination of youth and experience provides the perfect platform to sustain and develop the ongoing growth of the business as well as those of our clients'. Commercial Office : Hotels & Leisure : Retail : Health & Education : Financial Services","[10, 28, 36, 38, 40, 92]"
1021,"Greenland Services Ltd are a mechanical and electrical company. We specialise in refrigeration works of all types, from reactive to planned installation. Our services cover air conditioning units, walk-in coldrooms, cellars and ice machines as well as fridges and freezers. The firm is also NICEIC registered for any type of electrical work such as new builds, fault finding or PAT testing. All plumbing jobs from large to small can be undertaken by us including those on new builds or troubleshooting existing systems. Customers who have taken advantage of our expertise range from construction firms and retail giants to universities, schools restaurants pubs businesses etc.. Other certifications held include Altius VA - Commercial Viability; NEBOSH - The National Examination Board in Occupational Safety & Health","[62, 63, 64, 67, 70, 91]"
1022,"We are a small to medium sized Civil Engineering Company that provides Ground Works and Civil Engineering services as both a Sub contractor or Principle Contractor. We operate throughout the UK, but our main areas of work are within Yorkshire and the Humber. Our team is made up of highly trained professionals and qualified operatives, who use their own plant and equipment for labour, plant and material-based projects ranging from £50K up to £3 million in value. We have established trusted relationships with industry leading principle contractors which has enabled us to secure future contracts. Recently we began our first concrete frame contract with one of our repeat clients; this allows us to offer an even more comprehensive service by providing Groundworks through superstructure packages for current as well as prospective customers. 
Atlas Construction Solutions Ltd strives to provide quality construction solutions every time!","[43, 44, 46, 52, 55, 57]"
1023,"Hillsborough Building Co. Limited is a well-established construction firm that works as the primary contractor with consultants and customers in the education, housing, healthcare, commercial, industrial and community sectors. We have an internal groundworks and civil engineering team to provide practical solutions to any difficulties encountered during building projects onsite. Our highly trained workforce has extensive experience in all aspects of groundwork development while our ongoing training program helps maintain essential skills up-to-date. We primarily operate across East & West Sussex, Surrey, Western Kent and South London Boroughs.","[28, 35, 36, 38, 39, 40]"
1024,"Trevor's Tiling and Slating Ltd is a specialist company based in Merthyr Tydfil, providing services to private, public and commercial clients. Our client base includes Monmouthshire Housing Association, Tai Calon Community Housing, Caerphilly County Borough Council and Bron Afon Housing Association. All our operatives are highly qualified in the roofing trade for safe execution of all types of works. We have built an excellent reputation for delivering quality workmanship with customer satisfaction as top priority.","[19, 20, 21]"
1025,"Thobrom Ltd was established in 1978 by two directors with a combined 70 years of experience in the Construction Industry. Our purpose has been to offer an efficient service across all aspects of construction and strive for excellence in workmanship, ultimately aiming for customer satisfaction. We have seen success thus far as we act both as Main Contractors or Sub-contractors on projects up to £2.5m value. Furthermore, we are contracted with lead insurers, NHBC and engineering consultants which provides us stability as well as having a strong presence within the specialist foundation market providing underpinning services and structural repairs.","[35, 36, 38, 39, 41]"
1026,"At our Head Office in the North West, we provide Nationwide coverage across mainland UK. Our personnel are all highly trained and experienced, with permanent on-site supervision to ensure that works are carried out safely and competently. All of our staff hold CSCS/CPCS/NRASWA/SMSTS/SSSTS qualifications as well as First Aid, Fire Marshall & Banksman certifications; plus they operate only the best maintained plant equipment available. Senior Management monitor daily progress while formal H&S site inspections take place regularly under the guidance of an appointed Health & Safety Advisor. We can assist you in planning your project from start to finish by providing viable solutions for any identified works or phasing issues you may have along the way - always keeping customer satisfaction at heart whilst maintaining a commercial awareness throughout . Furthermore, we have extensive experience dealing with local authorities regarding Section 278 projects including working alongside Environmental Protection Teams during out of hours work or noise restrictions if necessary.","[56, 53, 55]"
1027,"Roofing Solutions: Roofing Solutions Ltd is an independent company based in Glasgow with nationwide coverage providing expert and reliable surveys and advice on all roofing systems. Identifying leaks using the most up to date technology along with more traditional access and diagnostic methods. Our consultancy services include the following: Roof condition surveys Specification advice Repair schedules Visual and invasive surveys Done surveys Thermal imaging surveys Electronic leak detection / moisture mapping Telescopic camera surveys  Roof Management System: We provide a service which consists of the following steps to provide an all encompassing Roof Management system: Step 1 - condition survey Step 2 - project management  Step 3 - roof manager Step 4 - preventative maintenance   We also provide a multi disciplined roof contracting service, approved by leading manufacturers of quality products for installation that meets excellence standards every time. With our growing team of highly trained professionals, we are able to offer impartial advice, practical solutions and exceptional technical support at any level.",[19]
1028,"Urban Gardens provide a comprehensive landscaping design, construction and maintenance service. Our experienced planting team is onsite to physically work for you, setting out shrubs and trees from various local nurseries. During the winter season, we have access to quality plants at competitive prices from Europe due to our strong relationships with suppliers in Holland, Italy and Belgium - which is especially helpful when needing large amounts of evergreen hedging quickly. After completion of the garden build as well as accepting any gardening upkeep recommendations given by us; Urban Gardens will maintain the area free-of-charge until it's purchased by someone else or moved into by its current owner. For larger properties that require more attention after moving in; we'll be there introducing ourselves to new clients while continuing regular maintenance indefinitely - often modifying or recreating gardens according to individual preferences.",[52]
1029,"Established in 1988, Global Roofing and Construction Ltd provide the supply and installation of high performance built up roofing systems. These include:  High performance built up felt roofing  Single Ply roofing systems   'Green Roof' systems Liquid applied systems   Hot melt systems   Installation of metal deck, plywood deck and composite roof decks.   We are approved installers and work closely with a number of major material manufacturers to ensure we achieve the highest standards in our installation process as well as offering long-term guarantees. Manufacturers include Bauder, Icopal, IKO/Permanite Sarnafil Garland Permanite & Liquid Plastics",[20]
1030,"Buttercup Builders offer a comprehensive range of architectural services, including; • Designing and developing the architecture • Submitting all necessary building applications (e.g Planning Permission and Building Regulations) • Writing project specifications and tender documents  • Guiding you through the tendering process, from selecting contractors to completion of the job• Architectural Visualisations• We will tailor our service to meet your specific requirements for each individual project.",[90]
1031,"In July 2015, Darren Tattersley and Thomas Carvill incorporated SkilledFix Interiors Ltd. We specialize in providing labour only to large dry lining and suspended ceiling contractors with a commitment to delivering premier quality products within the sector. Our successful track record of repeat business, subcontractor recommendations, and continued success with larger drylining subcontractors in the North of England is proof that our ethos for excellence has been met. With extensive installation experience across multiple sectors such as Residential, Commercial Leisure Health & Education we are skilled in all aspects of drylining work packages including: British Gypsum/Knauf/Siniat Partition & Wall Lining Systems; British Gypsum/ Knauf / Siniat Ceiling Systems; Fermacell Drywall Systems; Armstrong / Knauf / AMF CEP Mineral Tile Suspended Ceilings System; SAS Burgess Hunter Douglass Metal Tile Suspended Ceiling System ; Metsec Kingspan Knauf EOS Hadley Structural Frame (SFS) systems",[15]
1032,"Bowmer & Kirkland is a family-owned business that consists of 25 subsidiary companies, one of which is Keyclad. We specialize in roofing, cladding and external envelopes and strive to create long-term relationships with our clients and suppliers while providing quality installation services. Our staff are supported through career development plans so we can promote from within the company to retain specialist knowledge base. Our goal is to maintain consistent turnover without sacrificing safety or quality standards for increased profits.",[2]
1033,"BDS Maintenance is one of Ireland's most reliable and experienced Building Maintenance organisations, providing services to a variety of clients throughout Northern Ireland including H&J Martin, Translink and TNT. Our team consists of 16 staff members who are available 24/7 for our customers' needs with over 2000 callouts per year under Service Level Agreements. For the past 4 years we have been delivering consistent day-to-day building maintenance as well as reactive repairs to Graham FM (with more than 250 yearly calls all within SLA requirements). This work includes brickwork, joinery, flooring, metal fabrication, painting plastering tiling fencing decorating road works drainage works glazing and other types of building fabric.","[31, 32, 33, 35, 36, 38]"
1034,"We are a Carpentry company, specialising in all aspects of Carpentry, we are now Q Mark BM- TRADA Registered for installation and maintenance we can survey fire doors, supply fire doors, install fire doors, sign off and maintain them we are also accredited with CHAS and constructionline. Our company started in 2009 when it became a​ LTD company before 2009 we were a private company operating as sub-contractors, we have over 30 years experience in the Carpentry Trade. Most of our business is in the commercial sector working with companies all over the UK Our standard of work is excellent; We work very closely with our clients providing a commitment to see through the project with service second to none. Health and safety is equally as important to us as the project making sure everyone is working within safe environment.","[1, 9]"
1035,"Crowned Construction Co. is a comprehensive erection/construction organization established to provide flexible and cost-effective scaffolding services. We are a family-run business that has been operating for over 30 years, giving our customers the advantage of three decades' worth of experience in industrial and commercial industries. Our personnel are directly employed by us and have undergone training through CITB, with CISRS cards, Health & Safety Certificates, as well as PTS qualifications under their belts. Furthermore, we are members of NASC & Achilles RISQS which audit us either annually or biennially. Over the past thirty years we have earned an excellent reputation within civil engineering structures and construction sectors due to customer satisfaction leading to repeat business opportunities for our Company's success",[25]
1036,"We are an NICEIC approved electrical installation and maintenance company based in South Wales. At B&T Electrical we provide a wide variety of services ranging from small domestic installs, shop fits, factory units to industrial premises.  B&T are experts in industrial, commercial and domestic installations. With over 20 years of experience and knowledge in all these areas we offer a professional, reliable service tailored to each client’s needs. Through the implementation of both internal and external training programs as well as extensive industry experience, B&T can guarantee quality workmanship that adheres to industry standards with reliability and commitment to quality honesty customer satisfaction guaranteed every time. All site operatives employed by us are CSCS (ECS) Registered . We currently employ 4 fully qualified electricians along with 4 apprentice electrician who have been IPAF trained , pasma qualified & ccsng trained (safety passport). If you require any more information please do not hesitate contact me directly on 07817307949","[64, 62, 70, 95]"
1037,"Apex Roofing & Cladding Ltd, based in South Wales, specialise in all aspects of industrial roofing and cladding projects throughout the UK. At Apex we ensure that all certificates and insurances are up to date giving clients assurance that their project will be completed with a high level of quality and safety regulations adhered to as we have our own health safety consultant on board. We strive for excellence by providing services which reflect traditional values combined with innovation and forward thinking. Our comprehensive range of building envelope solutions include single trades or complete shell packages tailored to meet customer needs. With an emphasis on client satisfaction our scope covers everything from routine maintenance through major commercial/industrial works.",[2]
1038,"Introduction to services      Amorosa Construction Ltd is based in Bedfordshire and offers a comprehensive Groundworks and Civil Engineering (Labour, Plant and Materials) service to Main Contractors, Developers and Private Companies in Greater London and the Home Counties. Our contracts have included an array of commercial and industrial projects ranging from £10,000 up to £1,500,000. We own a large fleet of modernised excavators equipped with all necessary plant equipment. With our ongoing investment into capital resources we are able to provide efficient works within budgeted timescales. We take pride in providing professional packages that meet precise standards safely whilst meeting deadlines set by clients. Throughout our years as a business we have been involved with many prestigious groundworks for residential & commercial properties such as schools; distribution centres; office blocks; car dealerships; laboratories; hotels & sports facilities along with infrastructural works too! As evidence of our commitment towards professionalism quality & reliability -we've built strong relationships over time between us & esteemed customers while maintaining excellent ratings amongst suppliers/subcontractors alike! Get in touch today if you'd like more information on your project requirements!","[43, 44, 46, 83, 22, 57]"
1039,"We are a family-run business, operating for more than 45 years. Several of our employees and tradespeople have been with us for 25 years or longer. We provide services to various new house builders such as Persimmon, Barratt, Bovis, Linden, Keepmoat Berkeley Deveer and Daniel Gath Homes. Health and safety is always at the forefront of what we do; we take pride in keeping up qualifications standards on site visits while ensuring that all personal protective equipment (PPE) meets quality checks along with Tool Box Talks being conducted regularly. Customer satisfaction is very important to us so every quarter we survey all site agents in order to identify any areas where improvements can be made – from health & safety protocols right through to attitude towards customers.",[84]
1040,"Based in Manchester, Brightview Plastering Ltd is one of the largest and most experienced plastering contractors operating throughout the North West Region. A family run business, established in 1998, we have a market leading reputation for providing a high standard of service at competitive rates to some of constructions most prestigious clients and contractors. We have a wealth of experience in all aspects of plastering:  &#61558;	Traditional Two Coat Plaster  	 &#61558;	Dry Lining &#61558;	Metal Frame Ceilings &#61558;	Lay-In Grid Ceilings &#61558; Partition Services  &#61558; Specialist Render Systems Our portfolio includes public and private sector projects from large corporate offices, luxury speculative houses and apartment developments to social residential developments, hotels, hospitals, nursing and residential care homes , schools and colleges. Typical contracts range in value from £10 000 to £1 million .We are committed to providing the highest standards of service and meeting or exceeding our clients' requirements expectations As part Of this commitment we have achieved accreditation Of our quality management system To ISO9001 :2015 ,accreditation Of our environmental management system To ISO14001 : 2015 And OHSAS 18001:2007 as well as numerous other accreditations","[16, 3, 14, 15]"
1041,"Over a period of 40 years our Founder and Chairman Mr.Mattie.Lennon, has built the Evergreen Plant Group into a highly respected and successful operation specialising in Demolition, Civil Engineering and allied activities.  Evergreen Plant Group companies work for developers, inner city housing action trusts (HATs), local authorities, government authorities and retailers offering a range of services including:  	Demolition - we are members of the NFDC (National Federation of Demolition Contractors) within the UK and as such are associated with the EDA (European Demolition Association).           Civil Engineering  we work in the housing, commercial and retail sectors  	Asbestos Management Services  we are fully experienced to work with asbestos based materials  	Site De-contamination & Remediation  we are licensed by the UK Environment Agency",[24]
1042,"Dynamic Detection Solutions Ltd is an ambitious and innovative organisation that provides a wide range of detection and sensing solutions for transportation, security, urban roads, railway lines and waterways. Our product portfolio includes CCTV image processing, ANPR (Automatic Number Plate Recognition), Radar technology as well as Bluetooth/Wi-Fi devices, Acoustic detection systems and Laser sensors. We specialise in incident recognition; bus lane enforcement; access control; traffic analysis including pedestrian movement tracking & cycle monitoring plus high level safety applications. Furthermore we design our products to be installed with ease whilst offering commissioning services along with training programmes & full integration support. As part of our commitment to excellence all members adhere to the Quality Management Systems - UKAS BS EN ISO 9001:2015 certification standards.",[93]
1043,"This Family owned and run business was founded in 2015 Oxfordshire Scaffolding set itself out to be the leading Scaffolding Hire and Erection Company in the area. Originally founded as Thorne Bros Scaffolding Ltd the company quickly grew in reputation and size until it rebranded in 2017 as Oxfordshire Scaffolding Services and extended its services to offer a nationwide Scaffolding Hire and Erection service using fully trained, CISRS staff.  Our aims are to • Provide high quality, affordable scaffolding solutions. • Industry standard ''TG20:13 Good practice for Tube and fitting Scaffolding''. • Create and Cultivate long- term relationships with clients • Respond immediately to the changing needs of our clients • Achieve complete customer satisfaction.• To be competitive ensuring safety and quality standards are maintained• Improve our services continually through ongoing training• Provide training solutionsand progression for our staffand competence throughoutthe industryWe are proudtobe theScaf fold ing providerofchoicefor both residentialand commercial contracts , localauthority workaswellaslarge newbuild projects",[25]
1044,"We are a one stop shop for all domestic and commercial drainage needs, from un-blocking to CCTV and repairs. Our services include excavation as well as non dig tech solutions. We are a family run business employing local engineers who have been trained to the highest level with high Health and Safety expectations in place. Additionally, we hold Chas accreditation and work with many schools, hospitals, food preparation companies among other businesses locally in order to keep our customers' drains free flowing. Other certifications: Moody International Ltd - (Non UKAS) BS EN ISO 9001:2015","[42, 43, 44, 45]"
1045,"Endon Roofing Limited offers a complete service from the initial survey to completion for both new constructions and refurbishments. Our directors have over two decades of knowledge and expertise in roofing, as well as being licensed installers for several leading material manufacturers' systems. All roofs are installed by personnel who are fully trained and CSCS certified. We provide installation services for single ply membrane systems, extensive/intensive roof gardens, high performance built up felts, liquid plastic roofing systems, leadwork slating/tiling and cladding systems.",[19]
1046,"Kingsford Homes are a specialist contractor in flat and pitched roofing, registered with the NFRC, Competent Roofer and Confederation of Roofing Contractors. We have been working on numerous housing associations, councils, academies and housing developers across the UK to install various types of roof systems. Our services include GRP roofing; flat roofs (mainly bitumen felt systems - torch applied or flame-free hot air welded); pitched roofs (plain tiles, natural slates, concrete interlocking tiles & fibre cement slates) as well as leadwork for both flat roofs & heritage works including dormers with cheeks plus lead roll hip/ridge).",[20]
1047,"Established more than three decades ago, David Cole Contracting is a well-established commercial landscaping and highway maintenance business in the public and private sector. We are certified to ISO 9001:2015 as well as The National Highway Sector Scheme 18 (NHSS 18). Our Environmental Agency – Waste Carrier & Brokers License registration allows us to offer services from our bases in Gloucestershire, Herefordshire, Devon and beyond - from London into Wales down to the Midlands and South West. By working closely with our customers we have been able to build up an esteemed reputation for success. Dedicated towards creating sustainable environments for both current and future generations alike at affordable prices, some of our clients include multi million pound civil engineering companies, Local Authorities, Parish/Town Councils plus individual members of the public too.  Through using large machinery such as excavator harvesting heads combined with chippers we can carry out tree clearance operations safely while also being cost effective for those that hire us; additionally through producing wood chip via Biomass Boilers this further enhances what we can do here at David Cole Contracting!",[52]
1048,"The primary business of Cedarwood Commercial Services is the management and delivery of construction, refurbishment and maintenance projects. Within the Cedarwood Commercial Services brand, we also provide grounds maintenance, door and window manufacturing, asset management, project management services and fleet services.  Cedarwood Commercial Services delivers services to the Group's stock of 5500 homes as well as a range of external clients including Bromsgrove District Housing Trust, Wyre Forest District Council , Sandwell Metropolitan Borough Council , Worcestershire County Council . Additionally they offer their service to other small customers such as Town & Parish councils plus private individuals or companies.","[51, 52, 39, 31]"
1049,"ABC Managed Services is a project management, fit out and refurbishment contractor operating predominantly across London and the South East. Our business philosophy is to always keep our word - we strive to complete projects safely, on time and within budget. We offer a tailored service that ensures desired results every single time; leveraging our expertise as well as excellent relationships with suppliers in order to guarantee quality throughout the construction process. At ABC we understand that effective communication lies at the heart of successful outcomes for all involved parties.",[33]
1050,"Electroserv Solutions are Electrical Contractors located in the Midlands. We specialise in commercial, industrial and site temporary installations throughout the UK. At Electroserv Solutions we pride ourselves on our versatility and ability to deliver an extremely reliable and efficient service, with health and safety being of the utmost importance. We maintain excellent performance standards in all aspects of our work and guarantee to provide our clients with competitive prices and a highly skilled service. Our operatives have been formally trained in their respective fields and hold ECS cards, as well as all relevant health & safety qualifications. Our core management are Site Management Safety Scheme (SMSTS) qualified too; believing that ongoing training & development for staff is key to success at Electroserv Solutions","[64, 88]"
1051,"About == With over 50 years of experience in the painting and decorating industry, Keith Middleton Decorating Ltd. has become renowned for its professional workmanship and high quality results. Our company began trading as a limited business in 2004 and since then we have grown considerably with our dedicated team providing an inviting atmosphere while always striving to maintain their highest standards. We only use top-notch materials which guarantee long-term satisfaction for all customers.  What we do == At Keith Middleton Decorating Ltd., you can rely on us to take care of your painting, decorating or property maintenance needs - no job is too big or small! Although based in Ceredigion, we are also willing to accept contracts from surrounding areas.  Interior Work == If it's just a fresh coat of paint or if you're looking for something completely new within your home or workplace, look no further than Keith Middleton Decorating Ltd.. Exterior Work== From domestic jobs right through to industrial projects and new construction sites; whatever exterior work you require - rest assured that at Keith Middleton Decorating Ltd., our goal is nothing less than excellence!","[18, 11]"
1052,"JMS is one of the leading ductwork manufacturer and installation companies in the Capital that has expanded over the years gaining more than 40 years experience in the industry. Our head office is situated in East London just off A406 junction with the M11 ideally located for works in and around the city but with easy access to the M25 and rest of country. Our factory is equipped with CNC Plasma and Coil Line technology with a direct link to our in-house CAD department, fully equipped with latest CAD CAM 3D modelling software. We are only licensed Koolduct installers London have invested latest CNC software driven Koolduct fabricating plant which enables us control quality this product house. We specialise Sheet Metal Ductwork, Fire Rated Ductwork, PVC Ductwork, VRF/VRV/Split DX Air Conditioning Systems Complete Airside Packages Steel Fabrications Commissioning Air Services Koolduct Other certifications: Certified Quality Systems - (Non UKAS) BS EN ISO 9001:2015 Certified Quality Systems - (UKAS) BS EN ISO 9001:2008",[81]
